,HIP,Vmag,RA,DE,Plx,pmRA,pmDE,e_Plx,B-V
192,6485,8.53,20.838142,-57.480658999999996,20.29,92.99,-36.93,0.93,0.705
193,6494,8.37,20.856737,-76.61173199999999,20.73,100.61,-20.95,0.7,0.6559999999999999
194,6527,6.59,20.961761,17.818444,20.42,76.16,-41.17,0.78,0.40299999999999997
195,6551,6.85,21.05079,-31.811777000000003,20.01,165.45,-76.58,0.87,0.569
196,6564,5.92,21.085354000000002,-6.914669,22.33,31.05,5.12,0.95,0.40700000000000003
197,6607,8.29,21.204147,-27.838375,24.75,320.92,-275.98,1.22,0.684
198,6643,7.12,21.301454,28.567079,22.65,252.59,-158.59,0.82,0.5770000000000001
199,6660,10.29,21.368489,12.156195,22.05,-165.18,-198.28,1.89,1.06
200,6705,11.96,21.557218,13.816476999999999,21.25,-108.81,-116.35,7.75,1.365
201,6711,5.98,21.577496,43.457886,24.21,108.31,-60.45,0.74,0.52
202,6744,8.41,21.705117,-29.474505999999998,24.51,26.25,-189.6,0.99,0.725
203,6776,6.27,21.775895000000002,34.377578,23.45,160.89,-10.75,0.75,0.45299999999999996
204,6795,9.14,21.86346,-25.936563,24.14,-26.87,-141.31,1.07,0.86
205,6862,6.9,22.079648000000002,30.557843,22.52,41.72,-61.28,0.78,0.505
206,6890,9.29,22.184722,31.611075,24.16,371.63,64.77,1.3,1.0
207,6913,8.4,22.255183,86.933066,23.97,-13.05,10.65,0.75,0.708
208,6943,7.18,22.359756,42.282051,22.04,137.38,-62.11,0.78,0.45299999999999996
209,6975,7.62,22.452853,23.690562,21.66,-49.52,-49.57,1.08,0.556
210,6978,7.93,22.463379,31.007333000000003,23.4,226.61,0.99,1.03,0.71
211,7037,8.69,22.685087,50.666028000000004,21.03,-105.03,-97.0,1.2,0.7340000000000001
212,7076,8.15,22.795906,-9.312064,22.17,60.73,-71.08,0.98,0.63
213,7083,3.93,22.812423000000003,-49.073077000000005,22.15,138.22,154.2,0.61,0.972
214,7090,7.32,22.830857,29.413303999999997,23.18,177.63,-88.59,0.92,0.622
215,7158,8.46,23.067525,-18.566036999999998,22.07,38.56,-56.97,2.88,0.679
216,7183,7.78,23.136649,-49.528003999999996,20.49,150.93,-54.47,0.81,0.6409999999999999
217,7287,11.03,23.472117,27.236277,21.63,486.92,-210.93,2.34,1.2
218,7290,9.88,23.480113,-55.52314200000001,22.36,-41.5,-197.5,2.04,1.072
219,7296,9.98,23.49549,-10.423863,20.73,-14.77,-213.38,1.95,0.958
220,7333,10.73,23.603017,65.963788,24.48,-170.82,39.68,1.95,1.17
221,7370,6.74,23.742165,33.118190000000006,20.91,-34.06,-134.22,0.9,0.634
222,7387,6.03,23.81129,-58.139393999999996,24.72,284.01,-33.05,0.54,0.382
223,7420,10.97,23.9065,42.039336999999996,23.86,119.08,-197.22,2.07,1.2830000000000001
224,7425,10.47,23.917583,-50.261801,20.47,231.39,52.33,4.74,1.3359999999999999
225,7426,8.83,23.919763,-65.293534,20.46,61.64,-64.52,0.84,0.7609999999999999
226,7429,7.85,23.92426,-55.238441,20.82,148.23,188.41,0.79,0.556
227,7446,7.15,23.970426999999997,-17.531976999999998,23.3,277.54,-201.11,0.86,0.7120000000000001
228,7467,8.83,24.042201000000002,-29.392357,21.22,-56.85,3.78,1.32,0.7609999999999999
229,7564,6.99,24.355127,25.168274,23.8,-211.25,-207.66,0.86,0.9
230,7588,0.45,24.428132,-57.23666,22.68,88.02,-40.08,0.57,-0.158
231,7626,9.4,24.558431,17.829810000000002,20.45,251.64,-160.64,1.51,0.81
232,7670,8.71,24.694243,63.716646999999995,20.4,97.2,28.23,3.32,0.87
233,7699,7.08,24.781368,-56.429299,20.37,91.46,-30.56,0.61,0.466
234,7743,9.87,24.923973999999998,-46.509735,24.92,17.17,-88.92,1.52,1.151
235,7744,8.53,24.926077,65.160031,22.58,-48.96,252.99,1.05,0.773
236,7759,7.85,24.976913,-9.972458999999999,21.16,239.06,89.85,0.96,0.607
237,7799,9.13,25.093014,-10.444364,20.01,219.02,-39.82,1.72,0.695
238,7817,11.6,25.142788,-30.727604,24.1,495.99,-353.03,2.54,1.607
239,7830,8.92,25.183597,15.619518,24.18,180.64,-28.69,1.26,0.905
240,7858,11.64,25.265384,-43.635593,23.7,-56.85,-213.45,2.56,1.4080000000000001
241,7860,8.09,25.278081,3.713635,23.73,-109.51,107.06,0.93,0.735
242,7886,6.2,25.363685,-38.132964,23.87,50.23,56.51,0.65,0.40399999999999997
243,7930,10.28,25.487784,17.05811,21.4,-219.38,-57.26,1.83,1.16
244,7949,7.53,25.525434,69.08601999999999,21.08,183.98,-7.67,0.68,0.586
245,7961,7.45,25.560728,-17.888835,20.45,548.81,11.38,0.99,0.617
